airline_sentiment,airline,text,hour_of_day,am_or_pm,day_of_week,weekend,tweet_length
negative,Virgin America,@VirginAmerica you guys messed up my seating.. I reserved seating with my friends and you guys gave my seat away ... 😡 I want free internet,8,AM,Tuesday,Weekday,Long
negative,Virgin America,@VirginAmerica status match program.  I applied and it's been three weeks.  Called and emailed with no response.,7,AM,Tuesday,Weekday,Long
negative,Virgin America,@VirginAmerica What happened 2 ur vegan food options?! At least say on ur site so i know I won't be able 2 eat anything for next 6 hrs #fail,7,AM,Tuesday,Weekday,Long
neutral,Virgin America,@VirginAmerica do you miss me? Don't worry we'll be together very soon.,5,AM,Tuesday,Weekday,Short
negative,Virgin America,@VirginAmerica amazing to me that we can't get any cold air from the vents. #VX358 #noair #worstflightever #roasted #SFOtoBOS,5,AM,Tuesday,Weekday,Long
neutral,Virgin America,@VirginAmerica LAX to EWR - Middle seat on a red eye. Such a noob maneuver. #sendambien #andchexmix,23,PM,Monday,Weekday,Short
negative,Virgin America,"@VirginAmerica hi! I just bked a cool birthday trip with you, but i can't add my elevate no. cause i entered my middle name during Flight Booking Problems 😢",22,PM,Monday,Weekday,Long
neutral,Virgin America,@VirginAmerica Are the hours of operation for the Club at SFO that are posted online current?,21,PM,Monday,Weekday,Short
negative,Virgin America,"@VirginAmerica help, left expensive headphones on flight 89 IAD to LAX today. Seat 2A. No one answering L&amp;F number at LAX!",21,PM,Monday,Weekday,Long
negative,Virgin America,"@VirginAmerica awaiting my return phone call, just would prefer to use your online self-service option :(",20,PM,Monday,Weekday,Long
positive,Virgin America,@VirginAmerica this is great news!  America could start flights to Hawaii by end of year http://t.co/r8p2Zy3fe4 via @Pacificbiznews,20,PM,Monday,Weekday,Long
neutral,Virgin America,Nice RT @VirginAmerica: Vibe with the moodlight from takeoff to touchdown. #MoodlitMonday #ScienceBehindTheExperience http://t.co/Y7O0uNxTQP,18,PM,Monday,Weekday,Long
positive,Virgin America,@VirginAmerica Moodlighting is the only way to fly! Best experience EVER! Cool and calming. 💜✈ #MoodlitMonday,18,PM,Monday,Weekday,Long
positive,Virgin America,"@VirginAmerica @freddieawards Done and done! Best airline around, hands down!",18,PM,Monday,Weekday,Short
neutral,Virgin America,@VirginAmerica when can I book my flight to Hawaii??,17,PM,Monday,Weekday,Short
negative,Virgin America,@VirginAmerica Your chat support is not working on your site: http://t.co/vhp2GtDWPk,17,PM,Monday,Weekday,Short
positive,Virgin America,"@VirginAmerica View of downtown Los Angeles, the Hollywood Sign, and beyond that rain in the mountains! http://t.co/Dw5nf0ibtr",17,PM,Monday,Weekday,Long
negative,Virgin America,"@VirginAmerica Hey, first time flyer next week - excited! But I'm having a hard time getting my flights added to my Elevate account. Help?",17,PM,Monday,Weekday,Long
neutral,Virgin America,@VirginAmerica plz help me win my bid upgrade for my flight 2/27 LAX---&gt;SEA!!!  🍷👍💺✈️,16,PM,Monday,Weekday,Short
neutral,Virgin America,@VirginAmerica I have an unused ticket but moved to a new city where you don't fly. How can I fly with you before it expires? #travelhelp,16,PM,Monday,Weekday,Long
neutral,Virgin America,@VirginAmerica are flights leaving Dallas for Seattle on time Feb 24?,16,PM,Monday,Weekday,Short
positive,Virgin America,@VirginAmerica I'm #elevategold for a good reason: you rock!!,16,PM,Monday,Weekday,Short
neutral,Virgin America,@VirginAmerica  DREAM http://t.co/oA2dRfAoQ2 http://t.co/lWWdAc2kHx,16,PM,Monday,Weekday,Short
positive,Virgin America,@VirginAmerica wow this just blew my mind,16,PM,Monday,Weekday,Short
neutral,Virgin America,@VirginAmerica @ladygaga @carrieunderwood After last night #tribute #SoundOfMusic #Oscars2015 @ladygaga! I think @carrieunderwood agree,16,PM,Monday,Weekday,Long
neutral,Virgin America,@VirginAmerica @ladygaga @carrieunderwood All were entertaining,15,PM,Monday,Weekday,Short
neutral,Virgin America,"@VirginAmerica Is flight 769 on it's way? Was supposed to take off 30 minutes ago. Website still shows ""On Time"" not ""In Flight"". Thanks.",15,PM,Monday,Weekday,Long
positive,Virgin America,@VirginAmerica @ladygaga @carrieunderwood Julie Andrews all the way though @ladygaga was very impressive! NO to @Carrieunderwood,15,PM,Monday,Weekday,Long
neutral,Virgin America,@VirginAmerica wish you flew out of Atlanta... Soon?,15,PM,Monday,Weekday,Short
neutral,Virgin America,@VirginAmerica @ladygaga @carrieunderwood Julie Andrews. Hands down.,15,PM,Monday,Weekday,Short
neutral,Virgin America,@VirginAmerica Will flights be leaving Dallas for LA on February 24th?,15,PM,Monday,Weekday,Short
negative,Virgin America,@VirginAmerica hi! i'm so excited about your $99 LGA-&gt;DAL deal- but i've been trying 2 book since last week &amp; the page never loads. thx!,15,PM,Monday,Weekday,Long
positive,Virgin America,@VirginAmerica you know it. Need it on my spotify stat #guiltypleasures,15,PM,Monday,Weekday,Short
positive,Virgin America,@VirginAmerica @ladygaga @carrieunderwood  I'm Lady Gaga!!! She is amazing! 😊,14,PM,Monday,Weekday,Short
neutral,Virgin America,@VirginAmerica @ladygaga @carrieunderwood - Carrie!,14,PM,Monday,Weekday,Short
neutral,Virgin America,@VirginAmerica New marketing song? https://t.co/F2LFULCbQ7 let us know what you think?,14,PM,Monday,Weekday,Short
neutral,Virgin America,@VirginAmerica @ladygaga @carrieunderwood Julie Andrews first but Lady Gaga wow'd me last night. Carrie? Meh.,14,PM,Monday,Weekday,Long
negative,Virgin America,@VirginAmerica I called a 3-4 weeks ago about adding 3 flights from 2014 to my Elevate...they still haven't shown up...help!,14,PM,Monday,Weekday,Long
neutral,Virgin America,"@VirginAmerica @ladygaga @carrieunderwood all are great , but I have to go with #CarrieUnderwood 😍👌",14,PM,Monday,Weekday,Short
neutral,Virgin America,"@VirginAmerica @LadyGaga @CarrieUnderwood Sorry, Mary Martin had it first!",14,PM,Monday,Weekday,Short
positive,Virgin America,@VirginAmerica @ladygaga @carrieunderwood  love all three but you really can't beat the classics!,14,PM,Monday,Weekday,Short
neutral,Virgin America,@VirginAmerica Flight 0736 DAL to DCA 2/24 2:10pm. Tried to check in could not. Status please.,14,PM,Monday,Weekday,Short
negative,Virgin America,@VirginAmerica heyyyy guyyyys.. been trying to get through for an hour. can someone call me please? :/,13,PM,Monday,Weekday,Long
negative,Virgin America,"@VirginAmerica Hi, Virgin! I'm on hold for 40-50 minutes -- are there any earlier flights from LA to NYC tonight; earlier than 11:50pm?",13,PM,Monday,Weekday,Long
positive,Virgin America,@VirginAmerica Congrats on winning the @Travelzoo award for Best Deals from an Airline (US) http://t.co/kj1iljaebV,13,PM,Monday,Weekday,Long
negative,Virgin America,@VirginAmerica everything was fine until you lost my bag,13,PM,Monday,Weekday,Short
neutral,Virgin America,@virginamerica Need to change reservation. Have Virgin credit card. Do I need to modify on phone to waive change fee? Or can I do online?,12,PM,Monday,Weekday,Long
neutral,Virgin America,@VirginAmerica I emailed your customer service team. Let me know if you need the tracking number.,12,PM,Monday,Weekday,Short
neutral,Virgin America,"@VirginAmerica hi I just booked a flight but need to add baggage, how can I do this?",11,AM,Monday,Weekday,Short
negative,Virgin America,@VirginAmerica your airline is awesome but your lax loft needs to step up its game. $40 for dirty tables and floors? http://t.co/hy0VrfhjHt,11,AM,Monday,Weekday,Long
positive,Virgin America,"@VirginAmerica not worried, it's been a great ride in a new plane with great crew. All airlines should be like this.",11,AM,Monday,Weekday,Long
positive,Virgin America,@VirginAmerica awesome. I flew yall Sat morning. Any way we can correct my bill ?,11,AM,Monday,Weekday,Short
neutral,Virgin America,"@VirginAmerica Or watch some of the best student films in the country at 35,000 feet! #CMFat35000feet http://t.co/KEK5pDMGiF",11,AM,Monday,Weekday,Long
neutral,Virgin America,@VirginAmerica first time flying you all. do you have a different rate/policy for media Bags? Thanks,11,AM,Monday,Weekday,Short
negative,Virgin America,@VirginAmerica what is going on with customer service? Is there anyway to speak to a human asap? Thank you.,11,AM,Monday,Weekday,Long
neutral,Virgin America,@VirginAmerica what happened to Doom?!,10,AM,Monday,Weekday,Short
negative,Virgin America,@VirginAmerica why can't you supp the biz traveler like @SouthwestAir  and have customer service like @JetBlue #neverflyvirginforbusiness,10,AM,Monday,Weekday,Long
positive,Virgin America,@VirginAmerica I've applied more then once to be a member of the #inflight crew team...Im 100% interested. #flightattendant #dreampath -G,10,AM,Monday,Weekday,Long
negative,Virgin America,@VirginAmerica you're the best!! Whenever I (begrudgingly) use any other airline I'm delayed and Late Flight :(,10,AM,Monday,Weekday,Long
negative,Virgin America,@VirginAmerica I have no interesting flying with you after this. I will Cancelled Flight my next four flights I planned.#neverflyvirginforbusiness,10,AM,Monday,Weekday,Long
negative,Virgin America,@VirginAmerica it was a disappointing experience which will be shared with every business traveler I meet. #neverflyvirgin,10,AM,Monday,Weekday,Long
negative,Virgin America,@VirginAmerica I’m having trouble adding this flight my wife booked to my Elevate account. Help? http://t.co/pX8hQOKS3R,10,AM,Monday,Weekday,Long
neutral,Virgin America,@VirginAmerica Can't bring up my reservation online using Flight Booking Problems code,10,AM,Monday,Weekday,Short
neutral,Virgin America,@VirginAmerica Random Q: what's the distribution of elevate avatars? I bet that kitty has a disproportionate share http://t.co/APtZpuROp4,10,AM,Monday,Weekday,Long
neutral,Virgin America,@VirginAmerica I &lt;3 Flying VA But Life happens and I am trying to #change my trip JPERHI  Can you help.VA home page will not let me ?,10,AM,Monday,Weekday,Long
negative,Virgin America,@VirginAmerica Why is the site down?  When will it be back up?,9,AM,Monday,Weekday,Short
neutral,Virgin America,"@VirginAmerica ""You down with RNP?"" ""Yeah you know me!""",9,AM,Monday,Weekday,Short
neutral,Virgin America,"@VirginAmerica hi, i did not get points on my elevate account for my most recent flight, how do i add the flight and points to my account?",9,AM,Monday,Weekday,Long
negative,Virgin America,@VirginAmerica I like the TV and interesting video . Just disappointed in Cancelled Flightled flight when other flights went out to jfk on Saturday .,9,AM,Monday,Weekday,Long
negative,Virgin America,"@VirginAmerica just landed in LAX, an hour after I should of been here. Your no Late Flight bag check is not business travel friendly #nomorevirgin",9,AM,Monday,Weekday,Long
neutral,Virgin America,@VirginAmerica why is flight 345 redirected?,9,AM,Monday,Weekday,Short
negative,Virgin America,"@VirginAmerica Is it me, or is your website down?  BTW, your new website isn't a great user experience.  Time for another redesign.",9,AM,Monday,Weekday,Long
negative,Virgin America,@VirginAmerica I can't check in or add a bag. Your website isn't working. I've tried both desktop and mobile http://t.co/AvyqdMpi1Y,9,AM,Monday,Weekday,Long
negative,Virgin America,@VirginAmerica - Let 2 scanned in passengers leave the plane than told someone to remove their bag from 1st class bin? #uncomfortable,9,AM,Monday,Weekday,Long
negative,Virgin America,@virginamerica What is your phone number. I can't find who to call about a flight reservation.,8,AM,Monday,Weekday,Short
negative,Virgin America,@VirginAmerica is anyone doing anything there today?  Website is useless and no one is answering the phone.,8,AM,Monday,Weekday,Long
neutral,Virgin America,@VirginAmerica trying to add my boy Prince to my ressie. SF this Thursday @VirginAmerica from LAX http://t.co/GsB2J3c4gM,8,AM,Monday,Weekday,Long
negative,Virgin America,@VirginAmerica why must a traveler miss a flight to Late Flight check a bag?  I missed my morning appointments and you lost my business. #sfo2lax,8,AM,Monday,Weekday,Long
neutral,Virgin America,@VirginAmerica check out new music http://t.co/maRcnOCWzn,8,AM,Monday,Weekday,Short
negative,Virgin America,@virginamerica how's a direct flight FLL-&gt;SFO have unexpected layover in Vegas 4 fuel yet peeps next to me bought for Vegas flight. #sneaky,8,AM,Monday,Weekday,Long
negative,Virgin America,@VirginAmerica your no Late Flight bag check just lost you my business. I missed flight and AM apt. Three other people on flight had same exp.,7,AM,Monday,Weekday,Long
positive,Virgin America,"@VirginAmerica - amazing customer  service, again! 💕💕 RaeAnn in SF - she's the best! #customerservice #virginamerica #flying",7,AM,Monday,Weekday,Long
negative,Virgin America,@VirginAmerica called your service line and was hung up on. This is awesome. #sarcasm,7,AM,Monday,Weekday,Short
negative,Virgin America,@VirginAmerica your site is tripping. I'm trying to check in and I'm getting the plain text version. I am reluctant to enter any card info.,7,AM,Monday,Weekday,Long
neutral,Virgin America,@VirginAmerica I was scheduled for SFO 2 DAL flight 714 today. Changed to 24th due weather. Looks like flight still on?,7,AM,Monday,Weekday,Long
positive,Virgin America,"@VirginAmerica has getaway deals through May, from $59 one-way. Lots of cool cities http://t.co/tZZJhuIbCH #CheapFlights #FareCompare",6,AM,Monday,Weekday,Long
neutral,Virgin America,"@VirginAmerica has getaway deals through May, from $59 one-way. Lots of cool cities http://t.co/RPdBpX3wNd #CheapFlights #FareCompare",6,AM,Monday,Weekday,Long
positive,Virgin America,"@VirginAmerica has getaway deals through May, from $59 one-way. Lots of cool cities http://t.co/B2Xi4YG5T8 #CheapFlights #FareCompare",6,AM,Monday,Weekday,Long
neutral,Virgin America,"@VirginAmerica has getaway deals through May, from $59 one-way. Lots of cool cities http://t.co/QDlJHslOI5 #CheapFlights #FareCompare",6,AM,Monday,Weekday,Long
positive,Virgin America,@VirginAmerica Have a great week 🌞✈,6,AM,Monday,Weekday,Short
positive,Virgin America,@VirginAmerica come back to #PHL already. We need you to take us out of this horrible cold. #pleasecomeback http://t.co/gLXFwP6nQH,6,AM,Monday,Weekday,Long
negative,Virgin America,"@VirginAmerica should I be concerned that I am about to fly on a plane that needs to be delayed due to a ""tech stop""?",5,AM,Monday,Weekday,Long
positive,Virgin America,"@VirginAmerica is the best airline I have flown on.Easy to change your reservation,helpful representatives &amp; a comfortable flying experience",3,AM,Monday,Weekday,Long
positive,Virgin America,@VirginAmerica and again! Another rep kicked butt! Naelah represents your team so beautifully!! Thank you!!!,0,AM,Monday,Weekday,Long
positive,Virgin America,@VirginAmerica your beautiful front-end design is down right now; but it was cool to still book my ticket b/c all your back-end was secure.,0,AM,Monday,Weekday,Long
positive,Virgin America,"@VirginAmerica Love the team running Gate E9 at LAS tonight. Waited for a delayed flight, and they kept things entertaining",0,AM,Monday,Weekday,Long
negative,Virgin America,@VirginAmerica Use another browser! 2015 &amp; a brand with a reputation built on tech response doesn't have a cross-browser compatible website?,22,PM,Sunday,Weekend,Long
negative,Virgin America,"@VirginAmerica And now the flight Flight Booking Problems site is totally down. Folks, what is the problem?",22,PM,Sunday,Weekend,Long
negative,Virgin America,@VirginAmerica I like the customer service but a 40 min delay just for connecting passengers seems too long. VA370,21,PM,Sunday,Weekend,Long
positive,Virgin America,@VirginAmerica thanks to your outstanding NYC-JFK crew who moved mountains to get me home to San Francisco tonight!,20,PM,Sunday,Weekend,Long
positive,Virgin America,@VirginAmerica you have the absolute best team and customer service ever.  Every time I fly with you I'm delighted.  Thank you!,17,PM,Sunday,Weekend,Long
neutral,Virgin America,"@VirginAmerica Do you provide complimentary upgrades to first class, if there are available seats?",17,PM,Sunday,Weekend,Short
negative,Virgin America,@VirginAmerica i need to change my flight thats scheduled in 9 hours and 120 min wait time on phone. Im calling intern. Help!!,17,PM,Sunday,Weekend,Long
positive,Virgin America,@VirginAmerica completely awesome experience last month BOS-LAS nonstop. Thanks for such an awesome flight and depart time. #VAbeatsJblue,16,PM,Sunday,Weekend,Long
neutral,Virgin America,@VirginAmerica How can I watch the #Oscars2015 on my JFK-&gt;SFO flight?,16,PM,Sunday,Weekend,Short
neutral,Virgin America,@VirginAmerica is flight 882 Cancelled Flightled and what do I do if it is?,15,PM,Sunday,Weekend,Short
negative,Virgin America,@VirginAmerica you are failing your customers because your check in process does not link to TSA pre-check.,15,PM,Sunday,Weekend,Long
negative,Virgin America,@VirginAmerica @FiDiFamilies us too! Terrible airline! Just gave us a hotel hotline number and said sorry,15,PM,Sunday,Weekend,Long
neutral,Virgin America,@VirginAmerica has flight number 276 from SFO to Cabo San Lucas arrived yet?,15,PM,Sunday,Weekend,Short
negative,Virgin America,@VirginAmerica @ChrysiChrysic your assistance yesterday when u Cancelled Flightled our flight was to give us a hotel hotline  Shame on you!,15,PM,Sunday,Weekend,Long
negative,Virgin America,@VirginAmerica Another delayed flight? #likingyoulessandless,14,PM,Sunday,Weekend,Short
negative,Virgin America,@VirginAmerica I need to register a service dog for a first class ticket from SFO &gt; Dulles. The phone queue is an hour or longer. Pls advise,14,PM,Sunday,Weekend,Long
positive,Virgin America,@virginamerica you ROCK for making it so I can watch #Oscars on my flight!! #redcarpet #oscars #oscars2015,14,PM,Sunday,Weekend,Long
neutral,Virgin America,"@VirginAmerica, @reallytallchris dropped a track on you... https://t.co/zv2pt6TRK9",14,PM,Sunday,Weekend,Short
positive,Virgin America,@VirginAmerica always!!! Xoxo,14,PM,Sunday,Weekend,Short
negative,Virgin America,@VirginAmerica why can't we book seats on your flights when we buy them or even during check in? Creates so much anxiety! #frustrated,14,PM,Sunday,Weekend,Long
negative,Virgin America,@VirginAmerica You'd think paying an extra $100 bucks RT for luggage might afford you hiring an extra hand at @sfo #lame,14,PM,Sunday,Weekend,Long
positive,Virgin America,@VirginAmerica best customer service rep in the world! #irmafromDallas takes the cake!!!,13,PM,Sunday,Weekend,Short
neutral,Virgin America,@VirginAmerica Can you find us a flt out of LAX that is sooner than midnight on Monday? That would be great customer service 😃,13,PM,Sunday,Weekend,Long
negative,Virgin America,@VirginAmerica please provide status for flight 769.  I cant imagine it's on time as the Web indicates  dude to weather here and/or Dallas,13,PM,Sunday,Weekend,Long
positive,Virgin America,@VirginAmerica you have amazing staff &amp; super helpful as I just ran the @WaltDisneyWorld #PrincessHalf they have spoiled me with comfort!!!,13,PM,Sunday,Weekend,Long
negative,Virgin America,"@VirginAmerica I paid the premium to fly you across the country, you Cancelled Flight my flight and offer no check fee or upgrade love? Sad face :(",13,PM,Sunday,Weekend,Long
negative,Virgin America,@VirginAmerica question: is it not possible to book a seat for an infant under 2? It's not giving me the option but we want a seat for him.,13,PM,Sunday,Weekend,Long
positive,Virgin America,Always have it together!!! You're welcome! RT @VirginAmerica: @jessicajaymes You're so welcome.,12,PM,Sunday,Weekend,Short
positive,Virgin America,@virginamerica #flight home to #dc #sunset #globe in' #backtowinter back to #work! #refreshed http://t.co/VX9vBCTdLf,12,PM,Sunday,Weekend,Long
negative,Virgin America,.@VirginAmerica I don't understand why you need a DM to give me an answer on if you have a damaged luggage policy.,12,PM,Sunday,Weekend,Long
negative,Virgin America,.@VirginAmerica does that mean you don't have a policy for destroyed luggage?,12,PM,Sunday,Weekend,Short
neutral,Virgin America,@VirginAmerica is there special assistance if I travel alone w/2 kids and 1 infant? Priority boarding?,11,AM,Sunday,Weekend,Long
positive,Virgin America,@VirginAmerica thank you for checking in. tickets are purchased and customer is happy ;-),11,AM,Sunday,Weekend,Short
neutral,Virgin America,@VirginAmerica is your website ever coming back online?,11,AM,Sunday,Weekend,Short
neutral,Virgin America,"@VirginAmerica  - Is Flight 713 from Love Field to SFO definitely Cancelled Flightled for Monday, February 23?",11,AM,Sunday,Weekend,Long
neutral,Virgin America,@VirginAmerica Is flight 0769 out of LGA to DFW on time?,11,AM,Sunday,Weekend,Short
neutral,Virgin America,@VirginAmerica my drivers license is expired by a little over a month. Can I fly Friday morning using my expired license?,11,AM,Sunday,Weekend,Long
negative,Virgin America,@VirginAmerica having problems Flight Booking Problems on the web site. keeps giving me an error and to contact by phone.  phone is 30 minute wait.,11,AM,Sunday,Weekend,Long
negative,Virgin America,@VirginAmerica How do I reschedule my Cancelled Flightled flights online? The change button is greyed out!,11,AM,Sunday,Weekend,Long
negative,Virgin America,"@VirginAmerica I rang, but there is a wait for 35 minutes!! I can book the same ticket through a vendor, fix your site",10,AM,Sunday,Weekend,Long
negative,Virgin America,"@VirginAmerica got a flight (we were told) for 4:50 today..,checked my email and its for 4;50 TOMORROW. This is unacceptable.",10,AM,Sunday,Weekend,Long
negative,Virgin America,"@VirginAmerica our flight into lga was Cancelled Flighted. We're stuck in Dallas. I called to reschedule, told I could get a flight for today...(1/2)",10,AM,Sunday,Weekend,Long
negative,Virgin America,@virginamerica why don't any of the pairings include red wine?! Only white is offered :( #redwineisbetter,10,AM,Sunday,Weekend,Long
negative,Virgin America,@VirginAmerica is the website down?,8,AM,Sunday,Weekend,Short
negative,Virgin America,@VirginAmerica - Your site seems a little wonked right now. May want to have a look. Tried on two browsers. No CSS? http://t.co/8qsQMM7KF2,8,AM,Sunday,Weekend,Long
negative,Virgin America,@VirginAmerica I'm disappointed that the agent at the designated silver status check in line @Dulles_Airport closed to assist all pasengers,5,AM,Sunday,Weekend,Long
neutral,Virgin America,@VirginAmerica Plans to Include Austin to its Dallas Route - TopNews Arab #Emirates http://t.co/aqZWecOkk2,5,AM,Sunday,Weekend,Long
negative,Virgin America,@VirginAmerica Is it normal to receive no reply from Central Baggage #baggageissues #smh,4,AM,Sunday,Weekend,Short
negative,Virgin America,@VirginAmerica at Logan airport and waiting to checkin for my 9am flight. Checkin desk not open !!!!! Why?!,3,AM,Sunday,Weekend,Long
neutral,Virgin America,@VirginAmerica to jump into the Dallas-Austin market - @Dallas_News http://t.co/EwwGi97gdx,3,AM,Sunday,Weekend,Short
neutral,Virgin America,"@VirginAmerica Beats EPS Views, Takes On #SouthwestAir VA LUV - Investor's Business Daily http://t.co/FLwmGDAHxu",3,AM,Sunday,Weekend,Long
neutral,Virgin America,@VirginAmerica Lister to my show my on Monday 1230 130,2,AM,Sunday,Weekend,Short
neutral,Virgin America,@VirginAmerica to begin Dallas-Austin #flights in April - 88.9 KETR http://t.co/SSUVWwkyHH,1,AM,Sunday,Weekend,Short
negative,Virgin America,"@VirginAmerica congrats, you just got all my business from EWR to SFO/LAX. Fuck you @united fl1289 SFO/EWR was the clincher...",21,PM,Saturday,Weekend,Long
negative,Virgin America,@VirginAmerica  I applied over 2 weeks ago. Haven't heard back and I'm flying this week #disappointed,21,PM,Saturday,Weekend,Long
neutral,Virgin America,@VirginAmerica I'd love to know what your policy is for damaged luggage.,20,PM,Saturday,Weekend,Short
positive,Virgin America,@VirginAmerica Thank you for the follow,20,PM,Saturday,Weekend,Short
negative,Virgin America,@VirginAmerica - too many apologies! You r the worse airlines! Don't even respond to your cudtomers,20,PM,Saturday,Weekend,Short
negative,Virgin America,@VirginAmerica shame on VA for making people spend money in stranded cities when other airlines are landing at JFK! Who will reimburse me?,20,PM,Saturday,Weekend,Long
neutral,Virgin America,@VirginAmerica @TTINAC11 I DM you,18,PM,Saturday,Weekend,Short
neutral,Virgin America,@VirginAmerica can you please have flights in  SJC ? I have no choice but to fly Southwest to Vegas 😩😭,18,PM,Saturday,Weekend,Long
negative,Virgin America,@VirginAmerica too bad you say it takes 10 to 14 days via YOUR confirmation email. When I inquired after 3 weeks you claim 6 to 8 weeks!,18,PM,Saturday,Weekend,Long
negative,Virgin America,@VirginAmerica Flight from BOS &gt; LAS tomorrow was Cancelled Flightled. No notification; wait times are 1+ hour. Will you rebook on another airline?,18,PM,Saturday,Weekend,Long
positive,Virgin America,😎 RT @VirginAmerica: You’ve met your match. Got status on another airline? Upgrade (+restr): http://t.co/RHKaMx9VF5. http://t.co/PYalebgkJt,18,PM,Saturday,Weekend,Long
positive,Virgin America,@VirginAmerica Only way to fly! #Elevate #Gold,18,PM,Saturday,Weekend,Short
neutral,Virgin America,@VirginAmerica If only you guys had flights from CMH.,17,PM,Saturday,Weekend,Short
negative,Virgin America,"@VirginAmerica a lot of ""apologies"" being thrown out to customers from what I can see.Very sad. Thanks for nothing. Worst airline ever.",17,PM,Saturday,Weekend,Long
negative,Virgin America,@VirginAmerica  for all my flight stuff wrong and did nothing about it. Had #worst #flight ever,17,PM,Saturday,Weekend,Short
neutral,Virgin America,@VirginAmerica Having an issue finding a missing item on a plane. Can you help me find which airport my plane headed to next?,17,PM,Saturday,Weekend,Long
positive,Virgin America,@VirginAmerica you will match my #AmericanAirlines status? Cool!,17,PM,Saturday,Weekend,Short
neutral,Virgin America,“@VirginAmerica:You've met your match.Got status on another airline? Upgrade : http://t.co/H952rDKTqy” @asarco_ES_ar ? 🙉,17,PM,Saturday,Weekend,Long
negative,Virgin America,@VirginAmerica trying to book a flight with you guys and your website won't let me... about to lose my business,17,PM,Saturday,Weekend,Long
negative,Virgin America,@VirginAmerica you suck!,17,PM,Saturday,Weekend,Short
positive,Virgin America,@VirginAmerica thanks!,16,PM,Saturday,Weekend,Short
negative,Virgin America,@VirginAmerica Just DM'd. Same issue persisting.,16,PM,Saturday,Weekend,Short
negative,Virgin America,@VirginAmerica Because we never rec'd Cancelled Flightlation notice we were left w no options to fly out of PS. Driving to LA for a red eye Mon w kids,15,PM,Saturday,Weekend,Long
negative,Virgin America,@VirginAmerica trying to book a flight &amp; your site is down 😁,15,PM,Saturday,Weekend,Short
negative,Virgin America,@VirginAmerica You have any flights flying into Boston tomorrow? I need to be home and you Cancelled Flightled my flight and didn't do anything,15,PM,Saturday,Weekend,Long
